item,available_level,source_or_comparator,mechanism,T160_boundary
T110,LC/PS,t110/REPORT.md 4eaa088ecb7ea8936d5c35d1eefb66027b376a020c8e76f4a2b91c012a3cb668,"fixed-order Gowers and q-multiplicative phases",exclude fixed-order/broad Fourier
T111,LC/PS/EXP,t111/REPORT.md 89eae292ac15699fd7175b879189d6eb5560fd692029f8a9dbdc1093583156d8,"de Bruijn synchronization",separator only; exclude specification
T112,LC/PS/EXP,t112/REPORT.md 72884fc7d8d594cfd2f380cafde121c541c1aa316badf054ac143bb102abcefa,"carry local limits and finite-state operators",exclude carry/finite-state
T113,PS/EXP,notes/t113/REPORT.md 30ff535624185d37981311d2f1e2a072d300221bec3f049351e5cae1026ed445,"variable-threshold avoidance",unverified note; exclude point selection
T114,LC/PS,t114/REPORT.md db21ac7d0a7845264c727132293db149a06a832d6f67700fd9ceb0f69a142cca,"determinant nonvanishing occupancy",exclude determinant/rank
T115,LC/PS/EXP,t115/REPORT.md 29cd0707df354aef8f50e4dfa4b9a780b863d93aef26cebdc4cbb8488ee27a36,"substitution Riesz recursion",exclude model Fourier
T116,LC/PS/EXP,t116/REPORT.md 573011bda281022483a113829138112494b73d667323c30aa2a0ef03bba32cd1,"computable avoidance selectors",exclude artificial point
T117,LC/PS/EXP,t117/REPORT.md ee6974209f7e6064f30ec3ae83240cb1e7994e66566e920417dbf361da0ff30b,"Legendre subset character expansion",exclude finite-field model/broad Fourier
T118,LC/PS/EXP,t118/REPORT.md 2ed7a176bedb2f3a1627dffd4002f6b6141f078fe5c73798041b4fba90c7410e,"cyclotomic order and numerator",exclude modular representation
T119,LC/PS/EXP rejected,t130/prior-t119-REPORT.md 72b10e921761874158893bb9cbb7454094bcbc59bbdfc787f33bbf355b63f23a,"predictive/Hankel/Prony rank",explicit comparator; pair multiplicity is not predictive rank
T120,LC/PS/EXP,t120/REPORT.md 8b375d1c06cbf9549e5f1919d25b227a9479be7bc3a5ed70955f5718a996dad5,"renewal/inducing tails",exclude stochastic return process
T121,LC/PS/EXP,t121/REPORT.md 01b97953941608b41b0fcd12cc5be0047f447be28d7cd26f8bae6506717e6cf2,"global Parseval/Walsh collision L2",explicit comparator; T160 short sums do not assume its Fourier energy
T122,LC/PS/EXP rejected,t125/prior-t122-REJECTED-REPORT.md 6ea3b7798ff4b211c0f6c3b514d062fbce8e518208c570231a1f2c32417845b7,"necklace/incidence balancing",exclude construction
T123,LC/PS/EXP parked,t125/prior-t123-R0-REPORT.md 3eed848437e5ade5cfc0ac5c8f8fabf5968ff156262b74ea2d947413b74fecb2,"de Bruijn and explicit discrepancy points",exclude construction/pointwise discrepancy
T124,PS/EXP,notes/t124/REPORT.md 461df40595e9d59852b7d86f8df8800b0e5fafaf6803843cb2ea1e29d737dd86,"arithmetic monodromy/expander walk",unverified note; exclude graph walk
T125,LC/PS/EXP,t125/REPORT.md 1ce372d3a99323eae9460a4dbc25b329b93b66e0a356aa3284f1fc9c543f461a,"all-subset multiplicative correlations",exclude fixed-order Fourier
T126,PS/EXP,notes/t126/REPORT.md afa4bf0c5ef48042c68f4b938c94ecb0890c5722bc97d72e08bb9ef616e39ed8,"valuation/denominator arithmetic",unverified representation
T127,LC/PS/EXP,t127/REPORT.md 19bdf7a7e44be685c4c994c64d28bdf9f1787b77e8999f6c9a10a496b27ed379,"Mahler lifting/Remez/reciprocal sums",exclude representation
T128,LC/PS/EXP,t128/REPORT.md 7e9520d7a0191df6f988d7f4f4920cfb954ac5162efa7fae43c1851de5863ffc,"nested de Bruijn/explicit normal construction",separator only; exclude specification
T129,metadata only,proof-ledger 1863e18dc38ab311750b1f42822d69a5bf7c01042038379b6da4e7482c839cf9,"natural-boundary/Remez metadata",availability boundary; infer no theorem
T130,LC/PS/EXP,t130/REPORT.md c130b2c8790dce80080367201e56efb3847f8262189af57f2ce756aacb6a893c,"growing-rank S-unit equations",exclude equation counting
T131,LC/PS/EXP,t131/REPORT.md ed2229ceedcff357f80121fbdc31ffbb8e3582717f487a3a85368eabe64790db,"de Bruijn-flow rounding/Euler ordering",explicit comparator; doubled de Bruijn is a separator only
T132,LC/PS/EXP,t132/REPORT.md 1d1aa950f21bb35697a5301cd3dbcacb27fec50a70d98009f1bb9f6179fe23bd,"projection Lorenz majorization",exclude tensor/projection
T133,LC/PS/EXP,t133/REPORT.md 53a1c70ff1fe9d91cc21f9044372a0ecca96567654ae1b6e3e04955be69c9d40,"factorial valuation transducer",exclude carry
T134,LC/PS/EXP,t134/REPORT.md a403e69db9d30d82bbc669cac02efd4476d71ad19ae5d6fac62016aa6334db14,"single zero-cylinder/heavy fiber",exclude occupancy
T135,LC/PS/EXP,t135/REPORT.md 4439850a49ee2fa7351d85daf366eba4b2b4a55e756a15bf7c431d92fb195e21,"Renyi-2 projection tensorization",exclude tensorization
T136,LC/PS,t136/REPORT.md b15cb995dfc5e1983d0056987c0371b3b7f85469c7dd175e2eb13a719465dc5f,"finite-kernel/ambient Fourier/structured sums",exclude fixture T136/T146 and broad Fourier
T137,PS/EXP,notes/t137/REPORT.md 84cbe349ea52137d2bd8bbf90e1eab389a599271f9d404b2e12255d3188d29f5,"tensor Lorenz penalty",unverified model
T138,rejected fixture,proof-ledger 9e89fe02a7d7f39a66dd580c5e22bcb8b5b055ad4c6cc03b4aa965f87e23b97b,"replay of T104",hard duplicate exclusion
T139,rejected metadata,proof-ledger f9f548d7db005d7b65ad30a8af8562eb3a30331b3c3cd41f617434ea33a51088,"tensor Lorenz family",availability boundary
T140,LC/PS/EXP,t140/REPORT.md ff05177ccaaebfd56d41467f2f74dce085aae3b855be95f6d1c458526541f35c,"hypergraph container census",exclude census
T141,PS/EXP,notes/t141/REPORT.md e7ca132fa2221a46be4f4611f87eb1d25bda036e90ae12c4387e1f08f8c8c356,"factorial carry-cycle means",unverified carry note
T142,rejected metadata,proof-ledger 46fd766b9e9f7780b06df0dbcac5830a19e18e09347da5cc083f9d18fc63db8e,"Gibbs longest-common-substring reconstruction",exclude locality; no readable package
T143,PS/EXP,notes/t143/REPORT.md b446b83025fd408fdbc8580e0e6871ab514ad169b0fe1d33407f6ad9061ca0d9,"weighted carry quotient",unverified carry note
T144,PS/EXP,notes/t144/REPORT.md 96c685692710b05035208ca459e4536f992bef2a69c030cc318625c5de00da7a,"residue method-of-types census",unverified census note
T145,PS/EXP,notes/t145/REPORT.md 17774f8020ddba63203d2a956e1edbd3e2d432a32cafde11386d35a3514d229c,"positive carry cycle",unverified carry note
T146,rejected fixture,proof-ledger b3b42927ea0c03b8ce2fb8017e4a80a179647bad755d184a2c912863ec310f53,"replay of T136",hard duplicate exclusion
T147,PS/EXP,notes/t147/REPORT.md d1af43d8b2c21c6b3106a4c75e8e38467146e7c09f219adf240ee83a9250a909,"shared-prefix high-collision family",separator independently rechecked; no note claim imported
T148,PS/EXP,notes/t148/REPORT.md 7a360dfc73ae9aa7c4582bc18f93cc06b7317f8fc1226b54fa0c11ca5fc223d7,"Landau atom/carry drift",unverified carry note
T149,LC/PS/EXP,t149/REPORT.md 57d80bddf431a49bb8d2eaa0d17ccb99d3b38a99ec04632850f4020284634483,"three-point PSD and maximum occupancy boundary",explicit comparator; reject max-occupancy-only implication
T150,LC/PS/EXP,t150/REPORT.md 937a6a9c23ba6c319de2f7f2457d33b163f67005e0651f6c199d0453902d5907,"multidepth bounded-difference census",exclude stochastic census
T151,PS/EXP,notes/t151/REPORT.md fb0c22c6cdbfbb731d73e431ad164b2e084ffe6a6c0a7cfd06489c83ecf59afb,"integrality-to-carry drift",unverified carry note
T152,PS/EXP,notes/t152/REPORT.md 01ae77f2f125d70d31e5ae774fb2c7adb8f741b04bb9fbec6e19cdc1fc497171,"depth-localized fractional-cover census",explicit unverified comparator; no claim imported
T153,LC/PS/EXP,t153/REPORT.md 4551c4f6770c0acc7efc186d6b8133c09d2a3ece6a6b355e1f5a2f966602740d,"logarithmic locality/k-Abelian flow",exclude locality and distinct-repeat census
T154,PS/EXP,notes/t154/REPORT.md 46a19449de1687226eb168998b73270e0e8112be437841b37623211bf7ef289f,"reuse-capacity entropy LP",unverified note; exclude entropy census
T155,LC/PS/EXP,t155/REPORT.md ba916762e40e2abbf0783f3ca5d6dac89069fe8fe355279cc9df4f4c165341e2,"run charging; heavy fibers; marked Palm-Stein diagnostic",pair-weight observation treated only as unverified lead; source tuples excluded
T156,result metadata only,program-context result dated 2026-08-12,"entropy/template survey; one T135 source duplicate; artifact unavailable",reserve all reported source/theorem content; make no novelty claim against it
T157,LC/PS/EXP,t157/REPORT.md d3b7c211111578216525e6b1d295f715ecee21e3cc1b3aafec1e2301459365c3,"inverse Littlewood-Offord GAP/LCD/Halasz zero-fiber failure",exclude zero-vector inverse concentration; source tuples excluded
T158,LC/PS/EXP,t158/REPORT.md 7ac71c0020e63aa8b944e43a4d122179eeef4f64961844497d8a84c41a11159f,"empirical de-Bruijn transition kernel; pseudo-spectral gap; census error; deterministic Euler-order obstruction",readable pinned comparator; reserve graph conductance and import no proof-sketch deduction
T159,LC source/PS note/EXP,notes/t159/REPORT.md 67c89ec92afaa0d3ebe02617346bb0ae5aa2ffd2184e6ea0ecd4843a0cd85045,"marked Palm-Stein approximation for overlapping iid block collisions",readable unverified-note comparator; reserve stochastic collision locations and import no note deduction
